[16-Feb-2024 14:05:53 UTC] PHP Parse error:  syntax error, unexpected identifier "http" in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-content/themes/mytheme/init.php on line 18
[18-Feb-2024 02:31:16 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/update.php on line 724
[19-Feb-2024 07:05:33 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/update.php on line 205
[19-Feb-2024 07:05:39 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/update.php on line 443
[19-Feb-2024 07:05:45 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/update.php on line 724
[19-Feb-2024 07:53:57 UTC] PHP Deprecated:  File Theme without sidebar.php is deprecated since version 3.0.0 with no alternative available. Please include a sidebar.php template in your theme. in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/functions.php on line 6031
[19-Feb-2024 09:08:17 UTC] PHP Deprecated:  File Theme without sidebar.php is deprecated since version 3.0.0 with no alternative available. Please include a sidebar.php template in your theme. in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/functions.php on line 6031
[19-Feb-2024 09:57:04 UTC] PHP Deprecated:  File Theme without sidebar.php is deprecated since version 3.0.0 with no alternative available. Please include a sidebar.php template in your theme. in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/functions.php on line 6031
[20-Feb-2024 08:37:32 UTC] PHP Warning:  Undefined array key 0 in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/plugin.php on line 1001
[20-Feb-2024 08:37:32 UTC] PHP Warning:  Undefined array key 0 in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/plugin.php on line 1004
[20-Feb-2024 08:37:32 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, no array or string given in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-settings.php(643): do_action('init')
#3 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-config.php(98): require_once('/Users/nanli/Do...')
#4 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-load.php(50): require_once('/Users/nanli/Do...')
#5 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-blog-header.php(13): require_once('/Users/nanli/Do...')
#6 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/index.php(17): require('/Users/nanli/Do...')
#7 /Users/nanli/.composer/vendor/laravel/valet/server.php(110): require('/Users/nanli/Do...')
#8 {main}
  thrown in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/class-wp-hook.php on line 324
[20-Feb-2024 08:39:32 UTC] PHP Warning:  Undefined array key 0 in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/plugin.php on line 1001
[20-Feb-2024 08:39:32 UTC] PHP Warning:  Undefined array key 0 in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/plugin.php on line 1004
[20-Feb-2024 08:39:32 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, no array or string given in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-settings.php(643): do_action('init')
#3 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-config.php(98): require_once('/Users/nanli/Do...')
#4 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-load.php(50): require_once('/Users/nanli/Do...')
#5 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-blog-header.php(13): require_once('/Users/nanli/Do...')
#6 /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/index.php(17): require('/Users/nanli/Do...')
#7 /Users/nanli/.composer/vendor/laravel/valet/server.php(110): require('/Users/nanli/Do...')
#8 {main}
  thrown in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/class-wp-hook.php on line 324
[20-Feb-2024 11:01:14 UTC] PHP Deprecated:  File Theme without sidebar.php is deprecated since version 3.0.0 with no alternative available. Please include a sidebar.php template in your theme. in /Users/nanli/Documents/000_LiLi/2023-2024 Webbutvecklare inriktning e-handel/003_php wordpress/payment/wp-includes/functions.php on line 6031
[20-Feb-2024 12:49:37 UTC] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\laragon\www\payment\wp-includes\formatting.php on line 885
[20-Feb-2024 12:49:37 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in C:\laragon\www\payment\wp-admin\includes\export.php on line 204
[20-Feb-2024 12:50:39 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in C:\laragon\www\payment\wp-content\plugins\woocommerce\src\Internal\Admin\Orders\PageController.php on line 146
[20-Feb-2024 12:51:58 UTC] PHP Deprecated:  File Theme without sidebar.php is deprecated since version 3.0.0 with no alternative available. Please include a sidebar.php template in your theme. in C:\laragon\www\payment\wp-includes\functions.php on line 6031
